lag_MH,MH_type_50p,MH_type_k2,lag_MH_type_50p,lag_MH_type_k2,controls_only
.36685738,.36612839,.41335493,.4533889,.47387725,
.37544212,.37779707,.42311203,.45883521,.47890586,.072052218
