age,job_hours_decimal
25,.35767955
26,.36420202
27,.35861233
28,.35555476
29,.355625
30,.35190463
31,.35341474
32,.35042751
33,.34362167
34,.34404266
35,.34420326
36,.34727988
37,.34668612
38,.34139693
39,.34549376
40,.34586889
41,.34477204
42,.3463389
43,.34569487
44,.34428954
45,.34734052
46,.34593034
47,.34916288
48,.35011011
49,.35087499
50,.34881586
51,.34679401
52,.3478412
53,.34821084
54,.34998974
55,.34652057
56,.3456662
57,.34408227
58,.3404254
59,.34002563
60,.32828119
61,.32998908
62,.32973373
63,.32444444
64,.32436031
65,.30908
66,.30063218
67,.30863637
68,.29567307
69,.273
70,.28174999
71,.26111111
72,.28428572
73,.30250001
74,.27444446
75,.30450001
