age,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Transitions,0.20385562,0.18091618,0.24569067,0.21078455,0.19081859,0.20295092,0.23711896,0.20550171,0.23421468,0.200185,0.22217451,0.18937312,0.19532973,0.21461444,0.20400959,0.2076516,0.21849366,0.22942112,0.23094688,0.23695841,0.21730405,0.21745378,0.26839864,0.21092986,0.23096889,0.22168078,0.19592148,0.23828897,0.20300119,0.20023575,0.21858867,0.23096623,0.22438318,0.26579806,0.24093229,0.27237689,0.26566944,0.28712952,0.26305881,0.32268953,0.32408437,0.31904185,0.33593059,0.37428725,0.32844293,0.35428566,0.32982859,0.38568896,0.37771738,0.38912579,0.36139521
Transitions,0.66179585,0.64973372,0.61976635,0.71285892,0.60411674,0.57728565,0.60573393,0.63660586,0.65148437,0.66153735,0.61441875,0.65474713,0.59706044,0.58754277,0.54760969,0.56230819,0.5341301,0.55317885,0.55980545,0.56280184,0.57175374,0.49733478,0.54181045,0.57144868,0.53740561,0.58051187,0.51699668,0.54801828,0.54030329,0.54283273,0.51344258,0.53888917,0.52662259,0.49407959,0.49808994,0.39239579,0.37562492,0.38843828,0.3954573,0.36092454,0.3807306,0.33316624,0.31970605,0.3099902,0.35200724,0.31781474,0.32258216,0.36437362,0.36527759,0.33766249,0.35433728
Transitions,0.84766322,0.90466756,0.77864254,0.76136607,0.85503709,0.72214222,0.80114657,0.66733909,0.79007465,0.73737675,0.71432197,0.70190042,0.75686979,0.7487846,0.72764486,0.70462137,0.69421822,0.77864611,0.81179142,0.80386543,0.75964034,0.66601342,0.78772879,0.78170162,0.78260797,0.75307184,0.78380477,0.76560599,0.76778054,0.75033236,0.7182712,0.76843244,0.72004801,0.82770312,0.77692688,0.75291008,0.82169789,0.76628345,0.92035246,0.77793384,0.95570546,0.83253711,0.83001697,0.88918167,0.85896045,0.83079726,0.84676826,0.76901948,0.79714411,0.8038159,0.81036955
Transitions,0.10761823,0.15556407,0.15096159,0.13854584,0.1396258,0.15126255,0.15645142,0.16103053,0.12380285,0.14501786,0.14400278,0.12609088,0.14847448,0.13592768,0.13167989,0.11522405,0.12076808,0.10541983,0.092112809,0.12048677,0.12393314,0.13388062,0.12864396,0.1131307,0.10831865,0.098210134,0.10665686,0.13372855,0.099015377,0.10825328,0.11005897,0.10248741,0.071720146,0.073560663,0.083062544,0.084714606,0.078857608,0.055529855,0.054393332,0.048630543,0.042065125,0.060058694,0.056419656,0.054572977,0.071924746,0.060177092,0.072299927,0.069201343,0.064828619,0.051297463,0.07411392
